     n size     역정렬     순정렬		랜덤
        0    0.000000    0.000000    0.000000
       10    0.000000    0.000000    0.000001
       20    0.000001    0.000000    0.000002
       30    0.000002    0.000000    0.000005
       40    0.000006    0.000001    0.000007
       50    0.000010    0.000001    0.000010
       60    0.000013    0.000001    0.000013
       70    0.000017    0.000001    0.000016
       80    0.000023    0.000001    0.000020
       90    0.000028    0.000001    0.000024
      100    0.000035    0.000001    0.000029
      200    0.000135    0.000002    0.000084
      300    0.000304    0.000003    0.000172
      400    0.000535    0.000005    0.000289
      500    0.000822    0.000006    0.000437
      600    0.001189    0.000007    0.000606
      700    0.001650    0.000008    0.000812
      800    0.002121    0.000009    0.001045
      900    0.002672    0.000010    0.001311
     1000    0.003355    0.000011    0.001607
     1100    0.003988    0.000012    0.001932
     1200    0.004754    0.000014    0.002288
     1300    0.005655    0.000015    0.002639
     1400    0.006471    0.000016    0.003096
     1500    0.007360    0.000017    0.003455
     1600    0.008429    0.000018    0.004016
     1700    0.009481    0.000019    0.004423
     1800    0.010753    0.000020    0.004995
     1900    0.011871    0.000022    0.005556
     2000    0.013276    0.000023    0.006091
