     n size     역정렬     순정렬		랜덤
        0    0.000000    0.000000    0.000000
       10    0.000000    0.000000    0.000001
       20    0.000001    0.000000    0.000001
       30    0.000002    0.000000    0.000002
       40    0.000003    0.000000    0.000004
       50    0.000005    0.000000    0.000006
       60    0.000007    0.000000    0.000005
       70    0.000009    0.000000    0.000008
       80    0.000012    0.000000    0.000010
       90    0.000015    0.000001    0.000011
      100    0.000017    0.000001    0.000015
      200    0.000057    0.000001    0.000038
      300    0.000133    0.000002    0.000083
      400    0.000236    0.000002    0.000145
      500    0.000391    0.000003    0.000240
      600    0.000700    0.000003    0.000618
      700    0.001440    0.000008    0.000743
      800    0.002026    0.000009    0.000954
      900    0.002569    0.000010    0.001241
     1000    0.003141    0.000011    0.001548
     1100    0.003229    0.000014    0.001887
     1200    0.004534    0.000015    0.002288
     1300    0.005888    0.000016    0.002620
     1400    0.006490    0.000017    0.003012
     1500    0.007430    0.000017    0.003500
     1600    0.008221    0.000019    0.004004
     1700    0.009462    0.000020    0.004478
     1800    0.010946    0.000021    0.004965
     1900    0.012145    0.000022    0.004785
     2000    0.007929    0.000025    0.005994
